packet_index,ground_truth_binary,stress_category,eszsl_prediction,inf_ms,total_ms
158,Normal,FP,DDoS_UDP,0.6083469997975044,0.6083469997975044
161,Normal,FP,DDoS_UDP,4.69002099998761,4.69002099998761
165,Normal,FP,DDoS_UDP,0.5981439999231952,0.5981439999231952
167,Normal,FP,DDoS_UDP,0.6026330001986935,0.6026330001986935
170,Normal,FP,DDoS_UDP,4.702493999957369,4.702493999957369
187,Normal,FP,DDoS_UDP,0.5774239998572739,0.5774239998572739
188,Normal,FP,DDoS_UDP,0.535100999968563,0.535100999968563
191,Normal,FP,DDoS_UDP,4.648798999824066,4.648798999824066
215,Normal,FP,DDoS_UDP,0.5496359999597189,0.5496359999597189
219,Normal,FP,DDoS_UDP,0.5490410003403667,0.5490410003403667
235,Normal,FP,DDoS_UDP,4.6382079999602865,4.6382079999602865
240,Normal,FP,DDoS_UDP,0.560577999749512,0.560577999749512
243,Normal,FP,DDoS_UDP,0.5813950001538615,0.5813950001538615
251,Normal,FP,DDoS_UDP,4.6923139998398256,4.6923139998398256
253,Normal,FP,DDoS_UDP,0.5419109998001659,0.5419109998001659
258,Normal,FP,DDoS_UDP,0.5685769997398893,0.5685769997398893
265,Normal,FP,DDoS_UDP,4.691775000082998,4.691775000082998
272,Normal,FP,DDoS_UDP,0.6448930002989073,0.6448930002989073
287,Normal,FP,DDoS_UDP,0.5841769998369273,0.5841769998369273
288,Normal,FP,DDoS_UDP,4.629843999737204,4.629843999737204
291,Normal,FP,DDoS_UDP,0.5902989996684482,0.5902989996684482
298,Normal,FP,DDoS_UDP,0.5813950001538615,0.5813950001538615
301,Normal,FP,DDoS_UDP,4.620160000285978,4.620160000285978
302,Normal,FP,DDoS_UDP,0.5414090001067962,0.5414090001067962
