packet_index,ground_truth_binary,stress_category,zdberta_prediction,inf_ms,total_ms
161,Normal,FP,Fingerprinting,559.6626510014175,559.6626510014175
164,Normal,FP,Fingerprinting,567.1545769982913,567.1545769982913
170,Normal,FP,Fingerprinting,554.5718729990767,554.5718729990767
173,Normal,FP,Fingerprinting,554.0115510011674,554.0115510011674
193,Normal,FP,Fingerprinting,608.688334999897,608.688334999897
205,Normal,FP,Fingerprinting,543.1306199971004,543.1306199971004
210,Normal,FP,Fingerprinting,556.5475199982757,556.5475199982757
213,Normal,FP,Fingerprinting,546.9352290019742,546.9352290019742
217,Normal,FP,Fingerprinting,547.4114460012061,547.4114460012061
219,Normal,FP,Fingerprinting,537.5284520014247,537.5284520014247
221,Normal,FP,Fingerprinting,559.6937709997292,559.6937709997292
226,Normal,FP,Fingerprinting,550.5379540009017,550.5379540009017
254,Normal,FP,Fingerprinting,588.7441640006728,588.7441640006728
259,Normal,FP,Fingerprinting,559.8016410003765,559.8016410003765
267,Normal,FP,Fingerprinting,586.3152160018217,586.3152160018217
276,Normal,FP,Fingerprinting,550.1935680003953,550.1935680003953
281,Normal,FP,Fingerprinting,578.3214000002772,578.3214000002772
284,Normal,FP,Fingerprinting,574.4229009978881,574.4229009978881
286,Normal,FP,Fingerprinting,548.5955500007549,548.5955500007549
289,Normal,FP,Fingerprinting,546.010654001293,546.010654001293
290,Normal,FP,Fingerprinting,543.3044820019859,543.3044820019859
292,Normal,FP,Fingerprinting,530.9366170004068,530.9366170004068
307,Normal,FP,Fingerprinting,543.0561149987625,543.0561149987625
308,Normal,FP,Fingerprinting,544.5088089982164,544.5088089982164
312,Normal,FP,Fingerprinting,559.1932849965815,559.1932849965815
330,Normal,FP,Fingerprinting,533.3052999994834,533.3052999994834
338,Normal,FP,Backdoor,547.9527679999592,547.9527679999592
342,Normal,FP,Fingerprinting,534.8164289971464,534.8164289971464
350,Normal,FP,Fingerprinting,544.0954939986113,544.0954939986113
358,Normal,FP,Fingerprinting,536.462936001044,536.462936001044
366,Normal,FP,Fingerprinting,537.9908419999992,537.9908419999992
20595,Attack,FN,Normal,566.8566179992922,566.8566179992922
24901,Attack,FN,Normal,530.9464179990755,530.9464179990755
